Dataset,Outcome,N,R_Linear,R_LAMNr,Delta,CI_Lower,CI_Upper,p_value
NNL,recall.total,164,0.1412644205210077,0.19573597437226986,0.05447155385126215,-0.05374302824940288,0.16573629902480758,0.33
NNL,recall.delayed,164,0.1812638754045412,0.3716697384445154,0.1904058630399742,0.09870771541750976,0.2794547474248534,0.0
NNL,crystallized.intelligence,165,0.0613315688909208,-0.0166580694102275,-0.0779896383011483,-0.25826539887794087,0.11490289173251489,0.442
NNL,working.memory,165,-0.1611824280183344,0.0157284980914448,0.1769109261097792,0.050547713748040214,0.29298690526419485,0.006
NNL,processing.speed,165,-0.0036639513529788978,0.013032666188720437,0.016696617541699335,-0.08892457310947682,0.2987899813764434,0.714
NNL,reading.ability,165,0.031022162246783662,0.10039831113841706,0.0693761488916334,-0.018448986225964054,0.1314839480339954,0.072
NNL,executive.function,165,-0.015372120420418517,-0.03971232033727869,-0.024340199916860178,-0.10434749929677285,0.05171550578639472,0.362
NNL,focus.and.control,165,0.05197124003992857,-0.003445463883433592,-0.05541670392336216,-0.18552533866712448,0.037055553780563966,0.112
PPMI,MMSE,450,0.4978981002945391,0.4517218283974946,-0.04617627189704454,-0.09193198605662078,0.0038987244124372013,0.078
PPMI,CDRSB,450,0.4730354498663391,0.43207233938133344,-0.04096311048500567,-0.09386287747800748,0.01297205346259108,0.136
PPMI,ADAS13,447,0.548837671882657,0.48844524975941933,-0.060392422123237643,-0.10828204234324228,-0.009044594014094829,0.024
PPMI,ADASQ4,449,0.49835671268323406,0.48680625768462066,-0.011550454998613402,-0.06941665246229863,0.04457927716707424,0.724
PPMI,mPACCdigit,450,0.5705109642915713,0.5332673045424237,-0.03724365974914767,-0.08229988889835378,0.011707053514813503,0.128
PPMI,mPACCtrailsB,450,0.583275818751697,0.5432714701435365,-0.04000434860816049,-0.08627386123818258,0.005421887583281575,0.078
PPMI,FAQ,440,0.46113047093790216,0.4019042798310229,-0.05922619110687927,-0.12646884488205798,0.006210077847064755,0.068
