Dataset,Outcome,N,Delta_Lin,CI_Lin,p_Lin,Delta_None,CI_None,p_None
NNL,recall.total,164,0.05447155385126215,"[-0.054, 0.166]",0.33,-0.013151291777889679,"[-0.143, 0.102]",0.81
NNL,recall.delayed,164,0.1904058630399742,"[0.099, 0.279]",0.0,0.14798835071718608,"[0.037, 0.263]",0.016
NNL,crystallized.intelligence,165,-0.0779896383011483,"[-0.258, 0.115]",0.442,0.054732407979825745,"[-0.086, 0.195]",0.422
NNL,working.memory,165,0.1769109261097792,"[0.051, 0.293]",0.006,0.20444233888219465,"[0.101, 0.319]",0.004
NNL,processing.speed,165,0.016696617541699335,"[-0.089, 0.299]",0.714,-0.0016224180449178546,"[-0.096, 0.248]",0.932
NNL,reading.ability,165,0.0693761488916334,"[-0.018, 0.131]",0.072,-0.004330041589626882,"[-0.076, 0.192]",0.96
NNL,executive.function,165,-0.024340199916860178,"[-0.104, 0.052]",0.362,-0.004067379260989587,"[-0.049, 0.127]",0.926
NNL,focus.and.control,165,-0.05541670392336216,"[-0.186, 0.037]",0.112,-0.018554848870736478,"[-0.152, 0.083]",0.392
PPMI,MMSE,450,-0.08436379232562957,"[-0.138, -0.028]",0.0,0.003693142979489583,"[-0.041, 0.044]",0.86
PPMI,CDRSB,450,-0.06965634254233899,"[-0.133, -0.010]",0.022,0.0045995742744929236,"[-0.043, 0.052]",0.788
PPMI,ADAS13,447,-0.11897777209726901,"[-0.180, -0.058]",0.0,0.003945366253476357,"[-0.063, 0.065]",0.816
PPMI,ADASQ4,449,-0.05760509606472752,"[-0.125, 0.008]",0.092,-0.0070331086168047285,"[-0.064, 0.046]",0.784
PPMI,mPACCdigit,450,-0.08174748339472537,"[-0.138, -0.026]",0.002,0.004055642501669898,"[-0.035, 0.046]",0.828
PPMI,mPACCtrailsB,450,-0.08339073182790008,"[-0.141, -0.029]",0.0,-0.001625309109319184,"[-0.044, 0.040]",0.964
PPMI,FAQ,440,-0.08153420866456751,"[-0.153, -0.015]",0.016,-0.016643789653856378,"[-0.074, 0.036]",0.6
