Dataset,Target,N,R_Nuisance,R_Linear,R_LAMNr,Uplift
NNL,recall.total,164,0.2765302123902184,0.1412644205210077,0.19573597437226986,0.05447155385126215
NNL,recall.delayed,164,0.3894118959468017,0.1812638754045412,0.3716697384445154,0.1904058630399742
NNL,crystallized.intelligence,165,-0.020023598158062997,0.0613315688909208,-0.0166580694102275,-0.0779896383011483
NNL,working.memory,165,-0.049918750041042674,-0.1611824280183344,0.0157284980914448,0.1769109261097792
NNL,processing.speed,165,0.05044703396859981,-0.0036639513529788978,0.013032666188720437,0.016696617541699335
NNL,reading.ability,165,0.12093915896379343,0.031022162246783662,0.10039831113841706,0.0693761488916334
NNL,executive.function,165,-0.03688900890433159,-0.015372120420418517,-0.03971232033727869,-0.024340199916860178
NNL,focus.and.control,165,-0.0009665084427500488,0.05197124003992857,-0.003445463883433592,-0.05541670392336216
PPMI,MMSE,450,0.3779021151111289,0.4978981002945391,0.4517218283974946,-0.04617627189704454
PPMI,CDRSB,450,0.3093700061465041,0.4730354498663391,0.43207233938133344,-0.04096311048500567
PPMI,ADAS13,447,0.3791694520846009,0.548837671882657,0.48844524975941933,-0.060392422123237643
PPMI,ADASQ4,449,0.3723647820374917,0.49835671268323406,0.48680625768462066,-0.011550454998613402
PPMI,mPACCdigit,450,0.4450917019004988,0.5705109642915713,0.5332673045424237,-0.03724365974914767
PPMI,mPACCtrailsB,450,0.43970367912345915,0.583275818751697,0.5432714701435365,-0.04000434860816049
PPMI,FAQ,440,0.27501708900494415,0.46113047093790216,0.4019042798310229,-0.05922619110687927
