Dataset,Method,Lambda,Val BPD,Total Loss,File
NNL,Baseline,0.0,-4.237879849098236,-4.237879849098236,seed42_baseline_metrics.json
NNL,Baseline,0.0,-4.23947663944325,-4.23947663944325,seed1337_baseline_metrics.json
NNL,hsic,1.0,-2.871237092133151,-2.871237092133151,hsic_lambda1.0_metrics.json
NNL,hsic,10.0,-2.871237092133151,-2.871237092133151,hsic_lambda10.0_metrics.json
NNL,hsic,50.0,-2.871237092133151,-2.871237092133151,hsic_lambda50.0_metrics.json
NNL,infonce,0.1,-4.080853690825034,-4.080853690825034,infonce_lambda0.1_metrics.json
NNL,infonce,1.0,-3.918972702868872,-3.918972702868872,infonce_lambda1.0_metrics.json
NNL,vicreg,0.1,-4.230207543425361,-4.230207543425361,vicreg_lambda0.1_metrics.json
NNL,vicreg,0.25,-4.205755558205151,-4.205755558205151,vicreg_lambda0.25_metrics.json
NNL,vicreg,0.3,-4.205811671760257,-4.205811671760257,vicreg_lambda0.3_metrics.json
NNL,vicreg,0.5,-4.204547534080377,-4.204547534080377,vicreg_lambda0.5_metrics.json
NNL,vicreg,1.0,-4.199097900713304,-4.199097900713304,vicreg_lambda1.0_metrics.json
NNL,vicreg,5.0,-3.906450171702174,-3.906450171702174,vicreg_lambda5.0_metrics.json
PPMI,Baseline,0.0,-8.245067952543192,-8.245067952543192,seed42_baseline_metrics.json
PPMI,Baseline,0.0,-8.24428178724808,-8.24428178724808,seed1337_baseline_metrics.json
PPMI,hsic,1.0,-8.198321044713376,-8.198321044713376,hsic_lambda1.0_metrics.json
PPMI,hsic,10.0,-8.198321044713376,-8.198321044713376,hsic_lambda10.0_metrics.json
PPMI,hsic,50.0,-8.198321044713376,-8.198321044713376,hsic_lambda50.0_metrics.json
PPMI,infonce,0.1,-7.828082081559383,-7.828082081559383,infonce_lambda0.1_metrics.json
PPMI,infonce,1.0,-6.93161365177216,-6.93161365177216,infonce_lambda1.0_metrics.json
PPMI,vicreg,0.1,-8.244376173125383,-8.244376173125383,vicreg_lambda0.1_metrics.json
PPMI,vicreg,0.3,-8.244358907416121,-8.244358907416121,vicreg_lambda0.3_metrics.json
PPMI,vicreg,1.0,-8.24440264721292,-8.24440264721292,vicreg_lambda1.0_metrics.json
PPMI,vicreg,2.0,-8.244427970253172,-8.244427970253172,vicreg_lambda2.0_metrics.json
PPMI,vicreg,5.0,-7.7343223739771,-7.7343223739771,vicreg_lambda5.0_metrics.json
