Dataset,K,HC,mean,std,count
NNL_DTI,3,64,-2.7500688403051967,0.48342057271591027,2
NNL_DTI,3,80,-2.6999095974625407,0.05578528381053974,2
NNL_DTI,3,96,-2.5953377956093053,0.04506124381495033,2
NNL_DTI,4,64,-3.0598296679713384,0.13810656468406154,2
NNL_DTI,4,80,-2.8840044837070984,0.14574951616536985,2
NNL_DTI,4,96,-3.058461568032783,0.01055780210891277,2
NNL_DTI,5,64,-2.8480897083319663,0.01607857629500377,2
NNL_DTI,5,80,-2.722424754708172,0.007378527471889,2
NNL_DTI,5,96,-2.687057924878312,0.16603373138452315,2
NNL_T1,3,64,-2.9901073015771837,0.045015343798221294,2
NNL_T1,3,80,-2.5033254898655413,0.056627349552233607,2
NNL_T1,3,96,-2.8671412937424376,0.11617872973541662,2
NNL_T1,4,64,-3.0533119312063017,0.2103917570083865,2
NNL_T1,4,80,-3.0405629895921886,0.027519804051988672,2
NNL_T1,4,96,-3.0899970477433296,0.03504960201379504,2
NNL_T1,5,64,-2.3896371258198927,0.024959181814361037,2
NNL_T1,5,80,-2.4144739606559416,0.14184257658921848,2
NNL_T1,5,96,-2.2408820813584445,0.05873805184326822,2
NNL_rsfMRI,3,64,-3.03403338339654,0.03196960894836704,2
NNL_rsfMRI,3,80,-3.020764385012921,0.11134307306572953,2
NNL_rsfMRI,3,96,-2.959892881026879,0.0938366429181723,2
NNL_rsfMRI,4,64,-3.24206668434822,0.007446561953880283,2
NNL_rsfMRI,4,80,-3.2020333784682045,0.046182959986225444,2
NNL_rsfMRI,4,96,-3.187349052937249,0.05127092190878541,2
NNL_rsfMRI,5,64,-3.0194313031606574,0.021422923243326675,2
NNL_rsfMRI,5,80,-3.058292749753587,0.030522893089835166,2
NNL_rsfMRI,5,96,-3.045445689704957,0.02221066381551163,2
PPMI_DTI,3,64,-8.589204046443484,0.00026701835819108253,2
PPMI_DTI,3,80,-8.58955796028009,2.1153920753569582e-05,2
PPMI_DTI,3,96,-8.589752415330665,0.00021952181914101788,2
PPMI_DTI,4,64,-8.590037747777881,8.820785823601381e-05,2
PPMI_DTI,4,80,-8.590533057812367,0.00015725744862151564,2
PPMI_DTI,4,96,-8.590934668170814,0.00016723571312549906,2
PPMI_DTI,5,64,-8.590673607326426,2.3149573654115046e-05,2
PPMI_DTI,5,80,-8.590833912796276,0.0002841809731416771,2
PPMI_DTI,5,96,-8.591422075822981,0.00019477572316508479,2
PPMI_T1,3,64,-8.620065530555111,3.532305635177584e-05,2
PPMI_T1,3,80,-8.620315725623811,5.986958703834523e-05,2
PPMI_T1,3,96,-8.620470245420895,0.00022091877617096007,2
PPMI_T1,4,64,-8.620401240689596,1.9158267851768043e-05,2
PPMI_T1,4,80,-8.620652705784027,5.627741181660975e-05,2
PPMI_T1,4,96,-8.620773781570232,0.00017242441067030865,2
PPMI_T1,5,64,-8.620750074423285,6.226437051950222e-05,2
PPMI_T1,5,80,-8.620889777253524,0.00015446353455974714,2
PPMI_T1,5,96,-8.620923644606307,7.304089618784884e-05,2
PPMI_rsfMRI,3,64,-8.515491937572806,0.00014686688633961853,2
PPMI_rsfMRI,3,80,-8.51651737118555,5.7514305141558375e-05,2
PPMI_rsfMRI,3,96,-8.516582731684947,0.00018384036821476453,2
PPMI_rsfMRI,4,64,-8.519836232099323,8.524441654603376e-05,2
PPMI_rsfMRI,4,80,-8.520395427483045,6.264951095643437e-05,2
PPMI_rsfMRI,4,96,-8.52085658211767,2.1567864427377848e-05,2
PPMI_rsfMRI,5,64,-8.5204567937297,0.00020284062973596048,2
PPMI_rsfMRI,5,80,-8.520671757149934,0.00022338145299860462,2
PPMI_rsfMRI,5,96,-8.520919763933755,0.0004857904702011946,2
